CPT_CODE,DESCRIPTION,NON_FACILITY_PRICE,FACILITY_PRICE,SOURCE
00566,Anesth cabg w/o pump,0.0,0.0,master_cleaned
00567,Anesth cabg w/pump,0.0,0.0,master_cleaned
00580,Anesth heart/lung transplnt,0.0,0.0,master_cleaned
0058T,Cryopreservation ovary tiss,0.0,0.0,master
00600,Anesth spine cord surgery,0.0,0.0,master_cleaned
00604,Anesth sitting procedure,0.0,0.0,master_cleaned
00620,Anesth spine cord surgery,0.0,0.0,master_cleaned
00625,Anes spine tranthor w/o vent,0.0,0.0,master_cleaned
00626,Anes spine transthor w/vent,0.0,0.0,master_cleaned
00630,Anesth spine cord surgery,0.0,0.0,master_cleaned
00632,Anesth removal of nerves,0.0,0.0,master_cleaned
00635,Anesth lumbar puncture,0.0,0.0,master_cleaned
00640,Anesth spine manipulation,0.0,0.0,master_cleaned
0064A,Adm sarscov2 50mcg/0.25mlbst,0.0,0.0,master_cleaned
00670,Anesth spine cord surgery,0.0,0.0,master_cleaned
00700,Anesth abdominal wall surg,0.0,0.0,master_cleaned
00702,Anesth for liver biopsy,0.0,0.0,master_cleaned
0071A,Adm sarscv2 10mcg trs-sucr 1,0.0,0.0,master_cleaned
0071T,Us leiomyomata ablate <200,0.0,0.0,cms_pfs
0072A,Adm sarscv2 10mcg trs-sucr 2,0.0,0.0,master_cleaned
0072T,Fcsd us abltj leiomyom>=200,0.0,0.0,cms_pfs
00730,Anesth abdominal wall surg,0.0,0.0,master_cleaned
00731,Anes upr gi ndsc px nos,0.0,0.0,master_cleaned
00732,Anes upr gi ndsc px ercp,0.0,0.0,master_cleaned
0073A,Adm sarscv2 10mcg trs-sucr 3,0.0,0.0,master_cleaned
0074A,Adm sarscv2 10mcg trs-sucr b,0.0,0.0,master_cleaned
00750,Anes hrna rpr upr abd nos,0.0,0.0,master_cleaned
00752,Anes hrna rpr lmbr&vnt&/dehs,0.0,0.0,master_cleaned
00754,Anes hrna rpr omphalocele,0.0,0.0,master_cleaned
00756,Anes hrna rpr diphrg hrna,0.0,0.0,master_cleaned
0075T,Perq stent/chest vert art,0.0,33.28,cms_pfs
0076T,S&i stent/chest vert art,0.0,33.28,cms_pfs
00770,Anes px maj abd blood vessel,0.0,0.0,master_cleaned
00790,Anes iper upr abd nos,0.0,0.0,master_cleaned
00792,Anes iper upr abd prtl hptc,0.0,0.0,master_cleaned
00794,Anes iper upr abd pncrtect,0.0,0.0,master_cleaned
00796,Anes iper upr abd lvr trnspl,0.0,0.0,master_cleaned
00797,Anes iper upr abd gstr px mo,0.0,0.0,master_cleaned
00800,Anesth abdominal wall surg,0.0,0.0,master_cleaned
00802,Anesth fat layer removal,0.0,0.0,master_cleaned
00811,Anes lwr intst ndsc nos,0.0,0.0,master_cleaned
00812,Anes lwr intst scr colsc,0.0,0.0,master_cleaned
00813,Anes upr lwr gi ndsc px,0.0,0.0,master_cleaned
0081A,Adm sarscv2 3mcg trs-sucr 1,0.0,0.0,master_cleaned
00820,Anesth abdominal wall surg,0.0,0.0,master_cleaned
0082A,Adm sarscv2 3mcg trs-sucr 2,0.0,0.0,master_cleaned
00830,Anesth repair of hernia,0.0,0.0,master_cleaned
00832,Anesth repair of hernia,0.0,0.0,master_cleaned
00834,Anesth hernia repair < 1 yr,0.0,0.0,master_cleaned
00836,Anesth hernia repair preemie,0.0,0.0,master_cleaned
0083A,Adm sarscv2 3mcg trs-sucr 3,0.0,0.0,master_cleaned
00840,Anesth surg lower abdomen,0.0,0.0,master_cleaned
00842,Anesth amniocentesis,0.0,0.0,master_cleaned
00844,Anesth pelvis surgery,0.0,0.0,master_cleaned
00846,Anesth hysterectomy,0.0,0.0,master_cleaned
00848,Anesth pelvic organ surg,0.0,0.0,master_cleaned
00851,Anesth tubal ligation,0.0,0.0,master_cleaned
0085T,Breath test heart reject,0.0,0.0,master_cleaned
00860,Anesth surgery of abdomen,0.0,0.0,master_cleaned
00862,Anesth kidney/ureter surg,0.0,0.0,master_cleaned
00864,Anesth removal of bladder,0.0,0.0,master_cleaned
00865,Anesth removal of prostate,0.0,0.0,master_cleaned
00866,Anesth removal of adrenal,0.0,0.0,master_cleaned
00868,Anesth kidney transplant,0.0,0.0,master_cleaned
00870,Anesth bladder stone surg,0.0,0.0,master_cleaned
00872,Anesth kidney stone destruct,0.0,0.0,master_cleaned
00873,Anesth kidney stone destruct,0.0,0.0,master_cleaned
00880,Anesth abdomen vessel surg,0.0,0.0,master_cleaned
00882,Anesth major vein ligation,0.0,0.0,master_cleaned
00902,Anesth anorectal surgery,0.0,0.0,master_cleaned
00904,Anesth perineal surgery,0.0,0.0,master_cleaned
00906,Anes vulvectomy,0.0,0.0,master_cleaned
00908,Anesth removal of prostate,0.0,0.0,master_cleaned
00910,Anesth bladder surgery,0.0,0.0,master_cleaned
00912,Anesth bladder tumor surg,0.0,0.0,master_cleaned
00914,Anesth removal of prostate,0.0,0.0,master_cleaned
00916,Anesth bleeding control,0.0,0.0,master_cleaned
00918,Anesth stone removal,0.0,0.0,master_cleaned
0091A,Adm sarscov2 50 mcg/.5 ml1st,0.0,0.0,master_cleaned
00920,Anesth genitalia surgery,0.0,0.0,master_cleaned
00921,Anesth vasectomy,0.0,0.0,master_cleaned
00922,Anesth sperm duct surgery,0.0,0.0,master_cleaned
00924,Anesth testis exploration,0.0,0.0,master_cleaned
00926,Anesth removal of testis,0.0,0.0,master_cleaned
00928,Anesth removal of testis,0.0,0.0,master_cleaned
0092A,Adm sarscov2 50 mcg/.5 ml2nd,0.0,0.0,master_cleaned
00930,Anesth testis suspension,0.0,0.0,master_cleaned
00932,Anesth amputation of penis,0.0,0.0,master_cleaned
00934,Anesth penis nodes removal,0.0,0.0,master_cleaned
00936,Anesth penis nodes removal,0.0,0.0,master_cleaned
00938,Anesth insert penis device,0.0,0.0,master_cleaned
0093A,Adm sarscov2 50 mcg/.5 ml3rd,0.0,0.0,master_cleaned
00940,Anesth vaginal procedures,0.0,0.0,master_cleaned
00942,Anesth surg on vag/urethral,0.0,0.0,master_cleaned
00944,Anesth vaginal hysterectomy,0.0,0.0,master_cleaned
00948,Anesth repair of cervix,0.0,0.0,master_cleaned
0094A,Adm sarscov2 50 mcg/.5 mlbst,0.0,0.0,master_cleaned
00950,Anesth vaginal endoscopy,0.0,0.0,master_cleaned
00952,Anesth hysteroscope/graph,0.0,0.0,master_cleaned
0095T,Rmvl artific disc addl crvcl,0.0,0.0,cms_pfs
0098T,Rev artific disc addl,0.0,0.0,cms_pfs
0100T,Prosth retina receive&gen,0.0,0.0,cms_pfs
0101T,Esw muscskel sys nos,0.0,0.0,cms_pfs
0102T,Esw phy anes lat hmrl epcndl,0.0,0.0,cms_pfs
0106T,Touch quant sensory test,0.0,0.0,cms_pfs
0107T,Vibrate quant sensory test,0.0,0.0,cms_pfs
0108T,Cool quant sensory test,0.0,0.0,cms_pfs
0109T,Heat quant sensory test,0.0,0.0,cms_pfs
0110T,Nos quant sensory test,0.0,0.0,cms_pfs
01112,Anesth bone aspirate/bx,0.0,0.0,master_cleaned
0111A,Adm sarscov2 25mcg/0.25ml1st,0.0,0.0,master_cleaned
0111T,Rbc membranes fatty acids,0.0,0.0,master_cleaned
01120,Anesth pelvis surgery,0.0,0.0,master_cleaned
0112A,Adm sarscov2 25mcg/0.25ml2nd,0.0,0.0,master_cleaned
01130,Anesth body cast procedure,0.0,0.0,master_cleaned
0113A,Adm sarscov2 25mcg/0.25ml3rd,0.0,0.0,master_cleaned
01140,Anesth amputation at pelvis,0.0,0.0,master_cleaned
01150,Anesth pelvic tumor surgery,0.0,0.0,master_cleaned
01160,Anesth pelvis procedure,0.0,0.0,master_cleaned
01170,Anesth pelvis surgery,0.0,0.0,master_cleaned
01173,Anesth fx repair pelvis,0.0,0.0,master_cleaned
01200,Anesth hip joint procedure,0.0,0.0,master_cleaned
01202,Anesth arthroscopy of hip,0.0,0.0,master_cleaned
01210,Anesth hip joint surgery,0.0,0.0,master_cleaned
01212,Anesth hip disarticulation,0.0,0.0,master_cleaned
01214,Anesth hip arthroplasty,0.0,0.0,master_cleaned
01215,Anesth revise hip repair,0.0,0.0,master_cleaned
0121A,Adm sarscv2 bvl 30mcg/.3ml 1,0.0,0.0,master_cleaned
01220,Anesth procedure on femur,0.0,0.0,master_cleaned
01230,Anesth surgery of femur,0.0,0.0,master_cleaned
01232,Anesth amputation of femur,0.0,0.0,master_cleaned
01234,Anesth radical femur surg,0.0,0.0,master_cleaned
0124A,Adm sarscv2 bvl 30mcg/.3ml a,0.0,0.0,master_cleaned
01250,Anesth upper leg surgery,0.0,0.0,master_cleaned
01260,Anesth upper leg veins surg,0.0,0.0,master_cleaned
0126T,Chd risk imt study,0.0,0.0,master
01270,Anesth thigh arteries surg,0.0,0.0,master_cleaned
01272,Anesth femoral artery surg,0.0,0.0,master_cleaned
01274,Anesth femoral embolectomy,0.0,0.0,master_cleaned
01320,Anesth knee area surgery,0.0,0.0,master_cleaned
01340,Anesth knee area procedure,0.0,0.0,master_cleaned
0134A,Adm sarscv2 bvl 50mcg/.5ml a,0.0,0.0,master_cleaned
01360,Anesth knee area surgery,0.0,0.0,master_cleaned
01380,Anesth knee joint procedure,0.0,0.0,master_cleaned
01382,Anesth dx knee arthroscopy,0.0,0.0,master_cleaned
01390,Anesth knee area procedure,0.0,0.0,master_cleaned
01392,Anesth knee area surgery,0.0,0.0,master_cleaned
01400,Anesth knee joint surgery,0.0,0.0,master_cleaned
01402,Anesth knee arthroplasty,0.0,0.0,master_cleaned
01404,Anesth amputation at knee,0.0,0.0,master_cleaned
0141A,Adm srscv2 bvl 25mcg/.25ml 1,0.0,0.0,master_cleaned
01420,Anesth knee joint casting,0.0,0.0,master_cleaned
0142A,Adm srscv2 bvl 25mcg/.25ml 2,0.0,0.0,master_cleaned
01430,Anesth knee veins surgery,0.0,0.0,master_cleaned
01432,Anesth knee vessel surg,0.0,0.0,master_cleaned
01440,Anesth knee arteries surg,0.0,0.0,master_cleaned
01442,Anesth knee artery surg,0.0,0.0,master_cleaned
01444,Anesth knee artery repair,0.0,0.0,master_cleaned
0144A,Adm srscv2 bvl 25mcg/.25ml 2,0.0,0.0,master_cleaned
01462,Anesth lower leg procedure,0.0,0.0,master_cleaned
01464,Anesth ankle/ft arthroscopy,0.0,0.0,master_cleaned
01470,Anesth lower leg surgery,0.0,0.0,master_cleaned
01472,Anesth achilles tendon surg,0.0,0.0,master_cleaned
01474,Anesth lower leg surgery,0.0,0.0,master_cleaned
01480,Anesth lower leg bone surg,0.0,0.0,master_cleaned
01482,Anesth radical leg surgery,0.0,0.0,master_cleaned
01484,Anesth lower leg revision,0.0,0.0,master_cleaned
01486,Anesth ankle replacement,0.0,0.0,master_cleaned
01490,Anesth lower leg casting,0.0,0.0,master_cleaned
01500,Anesth leg arteries surg,0.0,0.0,master_cleaned
01502,Anesth lwr leg embolectomy,0.0,0.0,master_cleaned
0151A,Adm sarscv2 bvl 10mcg/.2ml 1,0.0,0.0,master_cleaned
