cpt_code,description,NON_FACILITY_PRICE,FACILITY_PRICE
00936,Anesth penis nodes removal,0.0,299.52
00938,Anesth insert penis device,0.0,299.52
0093A,Adm sarscov2 50 mcg/.5 ml3rd,0.0,299.52
00940,Anesth vaginal procedures,0.0,299.52
00942,Anesth surg on vag/urethral,0.0,299.52
00944,Anesth vaginal hysterectomy,0.0,299.52
00948,Anesth repair of cervix,0.0,299.52
0094A,Adm sarscov2 50 mcg/.5 mlbst,0.0,299.52
00950,Anesth vaginal endoscopy,0.0,299.52
00952,Anesth hysteroscope/graph,0.0,299.52
0095T,Rmvl artific disc addl crvcl,0.0,0.0
0098T,Rev artific disc addl,0.0,0.0
0100T,Prosth retina receive&gen,0.0,0.0
0101T,Esw muscskel sys nos,0.0,0.0
0102T,Esw phy anes lat hmrl epcndl,0.0,0.0
0106T,Touch quant sensory test,0.0,0.0
0107T,Vibrate quant sensory test,0.0,0.0
0108T,Cool quant sensory test,0.0,0.0
0109T,Heat quant sensory test,0.0,0.0
0110T,Nos quant sensory test,0.0,0.0
01112,Anesth bone aspirate/bx,0.0,299.52
0111A,Adm sarscov2 25mcg/0.25ml1st,0.0,299.52
0111T,Rbc membranes fatty acids,0.0,299.52
01120,Anesth pelvis surgery,0.0,299.52
0112A,Adm sarscov2 25mcg/0.25ml2nd,0.0,299.52
01130,Anesth body cast procedure,0.0,299.52
0113A,Adm sarscov2 25mcg/0.25ml3rd,0.0,299.52
01140,Anesth amputation at pelvis,0.0,299.52
01150,Anesth pelvic tumor surgery,0.0,299.52
01160,Anesth pelvis procedure,0.0,299.52
01170,Anesth pelvis surgery,0.0,299.52
01173,Anesth fx repair pelvis,0.0,299.52
01200,Anesth hip joint procedure,0.0,299.52
01202,Anesth arthroscopy of hip,0.0,299.52
01210,Anesth hip joint surgery,0.0,299.52
01212,Anesth hip disarticulation,0.0,299.52
01214,Anesth hip arthroplasty,0.0,299.52
01215,Anesth revise hip repair,0.0,299.52
